sigma_lum	sigma_x	angular_range	angular_samples	rmse	frame_ms	status
2.0	1.0	0.0	1	0.129921	42.71	ok
2.0	1.0	0.0	3	0.129921	46.42	ok
2.0	1.0	0.1	1	0.129921	42.67	ok
2.0	1.0	0.1	3	0.094646	51.09	ok
2.0	1.0	0.2	1	0.129921	42.71	ok
2.0	1.0	0.2	3	0.092983	52.92	ok
2.0	2.0	0.0	1	0.087791	42.66	ok
2.0	2.0	0.0	3	0.087791	46.15	ok
2.0	2.0	0.1	1	0.087791	42.64	ok
2.0	2.0	0.1	3	0.080068	50.81	ok
2.0	2.0	0.2	1	0.087791	42.50	ok
2.0	2.0	0.2	3	0.079073	52.99	ok
2.0	4.0	0.0	1	0.082288	42.54	ok
2.0	4.0	0.0	3	0.082288	46.29	ok
2.0	4.0	0.1	1	0.082288	42.37	ok
2.0	4.0	0.1	3	0.078156	50.72	ok
2.0	4.0	0.2	1	0.082288	42.47	ok
2.0	4.0	0.2	3	0.077316	52.89	ok
4.0	1.0	0.0	1	0.130660	42.52	ok
4.0	1.0	0.0	3	0.130660	46.12	ok
4.0	1.0	0.1	1	0.130660	42.49	ok
4.0	1.0	0.1	3	0.094678	50.75	ok
4.0	1.0	0.2	1	0.130660	42.61	ok
4.0	1.0	0.2	3	0.092898	52.92	ok
4.0	2.0	0.0	1	0.087160	42.46	ok
4.0	2.0	0.0	3	0.087160	46.16	ok
4.0	2.0	0.1	1	0.087160	42.51	ok
4.0	2.0	0.1	3	0.079354	50.86	ok
4.0	2.0	0.2	1	0.087160	42.51	ok
4.0	2.0	0.2	3	0.078313	52.77	ok
4.0	4.0	0.0	1	0.081093	42.43	ok
4.0	4.0	0.0	3	0.081093	46.23	ok
4.0	4.0	0.1	1	0.081093	42.42	ok
4.0	4.0	0.1	3	0.077230	50.91	ok
4.0	4.0	0.2	1	0.081093	42.38	ok
4.0	4.0	0.2	3	0.076359	53.09	ok
8.0	1.0	0.0	1	0.132025	42.50	ok
8.0	1.0	0.0	3	0.132025	46.10	ok
8.0	1.0	0.1	1	0.132025	42.50	ok
8.0	1.0	0.1	3	0.096876	50.80	ok
8.0	1.0	0.2	1	0.132025	42.64	ok
8.0	1.0	0.2	3	0.095237	52.76	ok
8.0	2.0	0.0	1	0.089782	42.60	ok
8.0	2.0	0.0	3	0.089782	46.12	ok
8.0	2.0	0.1	1	0.089782	42.36	ok
8.0	2.0	0.1	3	0.082383	50.81	ok
8.0	2.0	0.2	1	0.089782	42.52	ok
8.0	2.0	0.2	3	0.081534	52.84	ok
8.0	4.0	0.0	1	0.083798	42.42	ok
8.0	4.0	0.0	3	0.083798	46.08	ok
8.0	4.0	0.1	1	0.083798	42.38	ok
8.0	4.0	0.1	3	0.080374	50.77	ok
8.0	4.0	0.2	1	0.083798	42.56	ok
8.0	4.0	0.2	3	0.079700	52.81	ok
